feature,importance
cat__ROUTE_ABQ-MSP,0.0
cat__ROUTE_ABQ-OAK,0.0
cat__ROUTE_ABQ-ORD,0.0
cat__ROUTE_ABQ-PHX,0.0
cat__ROUTE_ABQ-SAN,0.0
cat__ROUTE_ABQ-SEA,0.0
cat__ROUTE_ABQ-SFO,0.0
cat__ROUTE_ABQ-SLC,0.0
cat__ROUTE_ABR-MSP,0.0
cat__ROUTE_ABY-ATL,0.0
cat__ROUTE_ACT-DFW,0.0
cat__ROUTE_ACV-DEN,0.0
cat__ROUTE_ACV-LAX,0.0
cat__ROUTE_ACV-SFO,0.0
cat__ROUTE_ACY-FLL,0.0
cat__ROUTE_ACY-MCO,0.0
cat__ROUTE_ACY-PBI,0.0
cat__ROUTE_ACY-RSW,0.0
cat__ROUTE_ACY-TPA,0.0
cat__ROUTE_ADK-ANC,0.0
cat__ROUTE_ADQ-ANC,0.0
cat__ROUTE_AEX-DFW,0.0
cat__ROUTE_AGS-ATL,0.0
cat__ROUTE_AGS-CLT,0.0
cat__ROUTE_AGS-DCA,0.0
cat__ROUTE_AGS-DFW,0.0
cat__ROUTE_ALB-ATL,0.0
cat__ROUTE_ALB-BNA,0.0
cat__ROUTE_ALB-BWI,0.0
cat__ROUTE_ALB-CLT,0.0
cat__ROUTE_ALB-DCA,0.0
cat__ROUTE_ALB-DEN,0.0
cat__ROUTE_ALB-DFW,0.0
cat__ROUTE_ALB-DTW,0.0
cat__ROUTE_ALB-FLL,0.0
cat__ROUTE_ALB-LAS,0.0
cat__ROUTE_ALB-MCO,0.0
cat__ROUTE_ALB-MDW,0.0
cat__ROUTE_ALB-MIA,0.0
cat__ROUTE_ALB-MYR,0.0
cat__ROUTE_ALB-ORD,0.0
cat__ROUTE_ALB-PGD,0.0
cat__ROUTE_ALB-PIE,0.0
cat__ROUTE_ALB-RSW,0.0
cat__ROUTE_ALB-SFB,0.0
cat__ROUTE_ALB-TPA,0.0
cat__ROUTE_AMA-AUS,0.0
cat__ROUTE_AMA-DAL,0.0
cat__ROUTE_AMA-DEN,0.0
cat__ROUTE_AMA-DFW,0.0
cat__ROUTE_AMA-HOU,0.0
cat__ROUTE_AMA-LAS,0.0
